subnum,nowtrial,imageno,exposure,charalength,TargetPosi,charakey,charares,TorF1,maskwidth,colorcond,colorres,TorF2,totaltime,RSVPtime,mojitime,mojiRT,colorRT,gray_gray,gray_mix,gray_color,mix_gray,mix_mix,mix_color,color_gray,color_mix,color_color
44,69,419,9,22,8,84,84,1,9.00E+00,1,1,1,4.96E+00,3.93E+00,1.79E-01,3.51E-01,2.04E-01,0,0,0,0,1,0,0,0,0
44,70,276,5,23,9,81,81,1,3.00E+02,2,2,1,3.52E+00,2.48E+00,1.08E-01,3.72E-01,4.77E-02,0,0,0,0,0,0,0,0,1
44,71,311,7,22,8,83,83,1,3.00E+02,2,2,1,4.25E+00,3.22E+00,1.46E-01,2.69E-01,1.09E-01,0,0,0,0,0,0,0,0,1
44,72,344,5,25,11,72,72,1,1.00E-02,0,0,1,3.61E+00,2.58E+00,1.03E-01,3.71E-01,3.11E-02,1,0,0,0,0,0,0,0,0
44,73,430,5,21,7,78,78,1,2.10E+01,1,1,1,3.21E+00,2.18E+00,1.04E-01,3.93E-01,2.21E-03,0,0,0,0,1,0,0,0,0
44,74,494,5,25,11,1000,1000,1000,2.50E+01,1,2,0,2.32E+00,1.30E+00,5.20E-02,1.00E+03,6.43E-02,0,0,0,0,0,1,0,0,0
44,75,539,7,22,8,1000,1000,1000,2.10E+01,1,1,1,2.91E+00,1.88E+00,8.56E-02,1.00E+03,3.90E-01,0,0,0,0,1,0,0,0,0
44,76,231,7,20,6,85,85,1,1.00E-02,0,0,1,3.99E+00,2.97E+00,1.48E-01,3.21E-01,2.40E-01,1,0,0,0,0,0,0,0,0
44,77,435,5,20,6,90,90,1,1.00E-02,0,0,1,3.15E+00,2.12E+00,1.06E-01,4.84E-01,2.19E-01,1,0,0,0,0,0,0,0,0
44,78,256,5,21,7,1000,1000,1000,3.00E+02,2,1,0,2.12E+00,1.10E+00,5.24E-02,1.00E+03,2.30E-01,0,0,0,0,0,0,0,1,0
44,79,406,7,21,7,68,68,1,1.00E-02,0,0,1,4.14E+00,3.12E+00,1.48E-01,6.90E-01,3.53E-01,1,0,0,0,0,0,0,0,0
44,80,223,5,24,10,72,72,1,2.50E+01,1,2,0,3.50E+00,2.47E+00,1.03E-01,6.92E-01,8.38E-02,0,0,0,0,0,1,0,0,0
44,81,481,9,24,10,82,82,1,1.00E-02,0,0,1,5.20E+00,4.17E+00,1.74E-01,1.68E+00,2.60E-01,1,0,0,0,0,0,0,0,0
44,82,251,7,22,8,84,84,1,3.00E+02,2,2,1,4.30E+00,3.27E+00,1.48E-01,2.96E-01,1.37E-01,0,0,0,0,0,0,0,0,1
44,83,540,9,23,9,87,87,1,3.00E+02,2,2,1,5.05E+00,4.02E+00,1.75E-01,2.92E-01,5.13E-02,0,0,0,0,0,0,0,0,1
44,84,519,9,20,6,78,78,1,3.00E+02,2,2,1,4.65E+00,3.62E+00,1.81E-01,4.98E-01,2.01E-01,0,0,0,0,0,0,0,0,1
44,85,546,5,23,9,74,74,1,1.00E-02,0,0,1,3.15E+00,2.13E+00,9.27E-02,6.37E-01,1.10E-01,1,0,0,0,0,0,0,0,0
44,86,279,7,20,6,80,80,1,9.00E+00,1,1,1,3.84E+00,2.82E+00,1.41E-01,2.25E-03,3.73E-01,0,0,0,0,1,0,0,0,0
44,87,301,7,24,10,67,67,1,2.10E+01,1,1,1,4.52E+00,3.50E+00,1.46E-01,4.13E-01,1.35E-01,0,0,0,0,1,0,0,0,0
44,88,312,7,23,9,71,71,1,3.00E+02,2,1,0,4.29E+00,3.27E+00,1.42E-01,2.90E+00,2.32E-01,0,0,0,0,0,0,0,1,0
44,89,483,9,20,6,89,89,1,3.00E+02,2,1,0,4.58E+00,3.55E+00,1.77E-01,3.25E-01,4.66E-01,0,0,0,0,0,0,0,1,0
44,90,292,5,21,7,71,71,1,1.70E+01,1,1,1,3.24E+00,2.22E+00,1.06E-01,6.81E-01,1.35E-01,0,0,0,0,1,0,0,0,0
44,91,450,9,23,9,70,70,1,1.30E+01,1,1,1,5.07E+00,4.05E+00,1.76E-01,3.98E-01,2.17E-01,0,0,0,0,1,0,0,0,0
44,92,401,7,22,8,75,75,1,2.10E+01,1,1,1,4.29E+00,3.27E+00,1.48E-01,3.51E-01,6.00E-02,0,0,0,0,1,0,0,0,0
44,93,549,7,20,6,71,71,1,3.00E+02,2,1,0,3.97E+00,2.93E+00,1.47E-01,4.21E-01,6.29E-02,0,0,0,0,0,0,0,1,0
44,94,326,9,25,11,68,68,1,3.00E+02,2,2,1,5.30E+00,4.27E+00,1.71E-01,2.93E-01,1.49E-01,0,0,0,0,0,0,0,0,1
44,95,348,5,23,9,1000,1000,1000,2.10E+01,1,1,1,2.22E+00,1.20E+00,5.22E-02,1.00E+03,2.07E-01,0,0,0,0,1,0,0,0,0
44,96,382,9,21,7,82,82,1,1.00E-02,0,0,1,4.67E+00,3.65E+00,1.74E-01,3.13E-01,7.20E-02,1,0,0,0,0,0,0,0,0
44,97,468,7,23,9,84,84,1,1.00E-02,0,0,1,4.37E+00,3.35E+00,1.46E-01,4.82E-01,3.14E-01,1,0,0,0,0,0,0,0,0
44,98,331,9,24,10,78,78,1,1.70E+01,1,1,1,5.17E+00,4.15E+00,1.73E-01,3.60E-01,2.13E-01,0,0,0,0,1,0,0,0,0
44,99,210,9,23,9,85,85,1,3.00E+02,2,1,0,5.08E+00,4.05E+00,1.76E-01,3.17E-01,2.20E-01,0,0,0,0,0,0,0,1,0
44,100,459,9,20,6,85,85,1,3.00E+02,2,1,0,4.62E+00,3.60E+00,1.80E-01,3.08E-01,2.19E-03,0,0,0,0,0,0,0,1,0
44,101,444,9,23,9,65,65,1,1.70E+01,1,1,1,5.17E+00,4.13E+00,1.80E-01,2.84E-01,7.71E-02,0,0,0,0,1,0,0,0,0
44,102,323,5,22,8,80,80,1,1.70E+01,1,1,1,3.54E+00,2.52E+00,1.14E-01,4.69E-01,6.13E-02,0,0,0,0,1,0,0,0,0
44,103,253,5,24,10,70,70,1,9.00E+00,1,1,1,3.46E+00,2.43E+00,1.01E-01,6.83E-01,2.18E-03,0,0,0,0,1,0,0,0,0
44,104,321,7,20,6,1000,1000,1000,9.00E+00,1,1,1,2.74E+00,1.72E+00,8.58E-02,1.00E+03,6.12E-01,0,0,0,0,1,0,0,0,0
44,105,559,5,24,10,87,87,1,9.00E+00,1,0,0,3.54E+00,2.52E+00,1.05E-01,1.26E+00,1.93E-01,0,0,0,1,0,0,0,0,0
44,106,372,7,23,9,1000,1000,1000,2.10E+01,1,1,1,3.01E+00,1.98E+00,8.62E-02,1.00E+03,2.04E-01,0,0,0,0,1,0,0,0,0
44,107,458,9,25,11,74,74,1,2.50E+01,1,1,1,5.39E+00,4.37E+00,1.75E-01,3.42E-01,2.12E-01,0,0,0,0,1,0,0,0,0
44,108,476,5,25,11,1000,1000,1000,3.00E+02,2,2,1,2.32E+00,1.30E+00,5.20E-02,1.00E+03,2.46E-02,0,0,0,0,0,0,0,0,1
44,109,277,7,24,10,1000,1000,1000,2.50E+01,1,1,1,3.08E+00,2.05E+00,8.54E-02,1.00E+03,4.86E-01,0,0,0,0,1,0,0,0,0
44,110,211,9,24,10,66,66,1,1.00E-02,0,0,1,5.32E+00,4.28E+00,1.78E-01,3.30E-01,2.14E-01,1,0,0,0,0,0,0,0,0
44,111,317,5,22,8,78,78,1,9.00E+00,1,1,1,3.37E+00,2.35E+00,1.07E-01,4.96E-01,5.44E-02,0,0,0,0,1,0,0,0,0
44,112,400,7,21,7,89,89,1,3.00E+02,2,1,0,4.20E+00,3.17E+00,1.51E-01,3.59E-01,5.14E-02,0,0,0,0,0,0,0,1,0
44,113,515,9,22,8,82,82,1,3.00E+02,2,2,1,4.82E+00,3.80E+00,1.73E-01,2.68E-01,7.58E-02,0,0,0,0,0,0,0,0,1
44,114,485,7,22,8,82,82,1,3.00E+02,2,2,1,4.22E+00,3.20E+00,1.45E-01,3.14E-01,1.84E-01,0,0,0,0,0,0,0,0,1
44,115,241,7,24,10,1000,1000,1000,3.00E+02,2,2,1,3.08E+00,2.05E+00,8.54E-02,1.00E+03,2.72E-01,0,0,0,0,0,0,0,0,1
44,116,547,5,24,10,1000,1000,1000,3.00E+02,2,2,1,2.27E+00,1.25E+00,5.21E-02,1.00E+03,2.76E-01,0,0,0,0,0,0,0,0,1
44,117,225,7,20,6,70,70,1,3.00E+02,2,1,0,4.00E+00,2.97E+00,1.48E-01,2.79E+00,1.78E-01,0,0,0,0,0,0,0,1,0
44,118,271,7,24,10,1000,1000,1000,1.70E+01,1,1,1,3.08E+00,2.05E+00,8.54E-02,1.00E+03,3.14E-01,0,0,0,0,1,0,0,0,0
44,119,431,9,22,8,1000,1000,1000,3.00E+02,2,1,0,3.60E+00,2.57E+00,1.17E-01,1.00E+03,4.40E-01,0,0,0,0,0,0,0,1,0
44,120,324,5,23,9,1000,1000,1000,9.00E+00,1,1,1,2.22E+00,1.20E+00,5.22E-02,1.00E+03,2.32E-01,0,0,0,0,1,0,0,0,0
44,121,548,5,25,11,74,74,1,1.00E-02,0,0,1,3.43E+00,2.40E+00,9.60E-02,3.42E-01,7.55E-01,1,0,0,0,0,0,0,0,0
44,122,512,7,25,11,87,87,1,2.50E+01,1,2,0,4.71E+00,3.68E+00,1.47E-01,3.54E-01,2.73E-01,0,0,0,0,0,1,0,0,0
44,123,272,7,25,11,89,89,1,1.00E-02,0,0,1,4.59E+00,3.57E+00,1.43E-01,4.71E-01,2.39E-01,1,0,0,0,0,0,0,0,0
44,124,275,9,22,8,69,69,1,9.00E+00,1,1,1,4.93E+00,3.90E+00,1.77E-01,2.65E-01,2.01E-01,0,0,0,0,1,0,0,0,0
44,125,319,7,24,10,88,88,1,1.00E-02,0,0,1,4.54E+00,3.52E+00,1.47E-01,3.26E-01,2.44E-01,1,0,0,0,0,0,0,0,0
44,126,511,7,24,10,67,67,1,2.50E+01,1,2,0,4.57E+00,3.55E+00,1.48E-01,3.38E-01,1.58E-01,0,0,0,0,0,1,0,0,0
44,127,229,5,24,10,66,66,1,3.00E+02,2,2,1,3.58E+00,2.55E+00,1.06E-01,3.55E-01,6.41E-02,0,0,0,0,0,0,0,0,1
44,128,291,9,20,6,70,70,1,1.00E-02,0,0,1,4.58E+00,3.55E+00,1.78E-01,3.72E-01,9.45E-02,1,0,0,0,0,0,0,0,0
44,129,533,7,22,8,85,85,1,3.00E+02,2,1,0,4.22E+00,3.18E+00,1.45E-01,2.53E-01,4.62E-02,0,0,0,0,0,0,0,1,0
44,130,235,5,24,10,85,85,1,2.10E+01,1,1,1,3.42E+00,2.40E+00,1.00E-01,2.87E-01,9.32E-02,0,0,0,0,1,0,0,0,0
44,131,366,7,23,9,88,88,1,2.50E+01,1,1,1,4.46E+00,3.43E+00,1.49E-01,2.28E-01,3.76E-02,0,0,0,0,1,0,0,0,0
44,132,536,9,25,11,1000,1000,1000,1.00E-02,0,0,1,3.95E+00,2.92E+00,1.17E-01,1.00E+03,3.38E-01,1,0,0,0,0,0,0,0,0
44,133,215,7,22,8,76,76,1,2.10E+01,1,1,1,4.24E+00,3.22E+00,1.46E-01,3.41E-01,2.10E-01,0,0,0,0,1,0,0,0,0
44,134,294,5,23,9,88,88,1,3.00E+02,2,1,0,3.34E+00,2.32E+00,1.01E-01,1.55E+00,2.87E-02,0,0,0,0,0,0,0,1,0
44,135,389,7,22,8,79,79,1,1.00E-02,0,0,1,4.21E+00,3.18E+00,1.45E-01,3.04E-01,1.26E-01,1,0,0,0,0,0,0,0,0
44,136,523,5,24,10,78,78,1,3.00E+02,2,2,1,3.47E+00,2.45E+00,1.02E-01,2.35E-01,2.84E-01,0,0,0,0,0,0,0,0,1
44,137,455,7,22,8,87,87,1,2.50E+01,1,1,1,4.16E+00,3.13E+00,1.42E-01,2.61E-01,3.78E-02,0,0,0,0,1,0,0,0,0
44,138,456,9,23,9,73,73,1,3.00E+02,2,1,0,5.06E+00,4.03E+00,1.75E-01,2.78E-01,2.41E-02,0,0,0,0,0,0,0,1,0
